Accuracy	Accuracy_sign
0.35185185	-0.14814815
0.51851852	0.01851852
0.44444444	-0.05555556
0.5	0
0.52941176	0.02941176
0.66666667	0.16666667
0.53703704	0.03703704
0.53703704	0.03703704
0.46938776	-0.03061224
0.77777778	0.27777778
0.51851852	0.01851852
0.57407407	0.07407407
0.46153846	-0.03846154
0.53703704	0.03703704
0.59259259	0.09259259
0.62264151	0.12264151
0.64814815	0.14814815
0.46296296	-0.03703704
0.62962963	0.12962963
0.42592593	-0.07407407
0.59259259	0.09259259
0.55555556	0.05555556
0.5	0
0.52830189	0.02830189
0.62962963	0.12962963
0.62962963	0.12962963
0.58823529	0.08823529
0.59259259	0.09259259
0.62962963	0.12962963
0.69811321	0.19811321
0.72222222	0.22222222
0.56603774	0.06603774
0.61111111	0.11111111
0.61111111	0.11111111
0.55555556	0.05555556
0.66666667	0.16666667
0.58490566	0.08490566
0.45283019	-0.04716981
0.5	0
0.46296296	-0.03703704
0.53703704	0.03703704
0.53703704	0.03703704
0.5	0
0.42592593	-0.07407407
0.48148148	-0.01851852
0.53703704	0.03703704
0.48148148	-0.01851852
0.62962963	0.12962963
0.33333333	-0.16666667
0.5	0
0.64814815	0.14814815
0.39622642	-0.10377358
0.64814815	0.14814815
