ID	Gender	Age	Event_help_in1year	Ask_or_accept	Closeness_with_helper	Willingness_to_accept	Self_Benefit	Benefactor_Cost	Predicted_help_rate	Gratitude	Indebtedness	Guilt	Obligation	Pressure	Need_to_repay	Second_order_belief_Need_Repay	Need_to_Repay_relative_to_benefit	Need_to_Repay_relative_to_cost	E2_Need_to_Repay_relative_to_benefit	E2_Need_to_Repay_relative_to_cost	Perceived_care	Benefactor_Selfishness	Desire_to_repay	Desire_to_Repay_immedately	Way_to_repay_money	Way_to_repay_future_help	Way_to_repay_thanks	Way_to_repay_cooperation	Way_to_repay_be_friend	Way_to_repay_gift	Way_to_repay_other	Already_monetary_repay	Already_future_help	Already_thanks	Already_cooperation	Already_be_friend	Already_gift	Already_other	Willingness_for_future_interaction	Whether_reject
1247	1	18	1	2	61	78	100	100	52	98	49	58	54	56	50	50	50	51	49	51	78	52	100	50	0	1	0	1	0	0	0	0	0	1	0	1	0	0	100	0
1248	2	18	1	1	81	81	83	61	99	100	0	0	0	0	52	50	100	100	100	100	84	9	100	48	0	1	1	1	1	0	0	0	1	1	0	1	0	0	100	0
1249	2	19	1	1	80	61	63	40	85	96	99	82	27	65	100	84	90	85	65	90	80	50	100	100	0	1	1	1	1	1	0	0	1	1	1	1	1	0	100	0
1251	2	19	1	1	85	91	91	80	97	57	0	0	0	0	53	0	52	78	80	54	93	0	52	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	82	0
1252	2	18	1	1	100	100	100	50	100	82	1	4	1	1	52	53	100	100	82	80	100	51	100	49	0	1	0	0	1	0	0	0	1	0	0	1	0	0	100	0
1256	1	18	1	2	0	44	59	41	22	79	20	8	0	0	0	33	0	50	52	49	79	0	67	44	0	0	0	0	0	0	1	0	0	0	0	0	0	1	41	0
1257	2	18	1	2	81	83	82	60	52	100	79	69	0	0	18	19	71	71	23	33	98	10	97	14	0	1	1	1	1	0	0	0	0	1	0	1	0	0	86	0
1258	2	18	1	2	15	35	36	19	53	49	12	0	0	0	15	0	50	95	21	36	42	51	22	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1260	2	18	1	1	0	50	60	23	40	50	0	0	0	0	10	0	70	80	80	0	0	0	10	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	19	0
1261	1	18	1	1	77	83	71	60	85	75	55	0	9	0	71	0	62	64	0	0	51	0	55	19	0	1	0	0	0	0	0	0	0	1	0	0	0	0	30	0
1262	1	18	1	2	0	77	17	11	50	10	12	0	0	0	4	10	50	51	10	10	50	10	30	10	0	1	1	0	0	0	0	0	0	0	0	0	0	1	10	0
1263	2	18	1	1	34	51	53	37	32	41	74	72	0	15	45	19	45	57	54	37	40	73	77	68	0	1	1	0	1	0	0	0	1	1	1	1	0	0	90	0
1264	1	18	1	2	0	21	30	21	0	50	20	0	31	45	80	80	20	50	50	49	20	61	40	79	0	0	1	0	0	0	0	0	0	1	0	0	1	0	20	0
1265	1	18	1	2	100	80	100	100	100	100	0	0	0	0	100	0	100	100	100	100	100	0	100	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	100	0
1266	2	17	1	1	64	38	63	36	82	82	50	25	0	4	81	62	74	65	71	54	55	55	78	98	0	1	1	1	0	0	0	0	1	1	1	0	0	0	54	0
1268	1	18	1	2	92	100	87	86	53	100	33	0	0	0	50	0	75	70	19	22	84	0	83	51	0	1	1	1	1	0	0	0	0	1	1	1	0	0	100	0
1273	2	18	1	2	71	100	85	80	73	91	8	10	8	4	82	19	55	100	59	66	100	26	100	55	0	1	1	0	0	0	0	0	0	1	0	0	0	0	100	0
1274	1	18	1	2	54	45	48	17	81	40	43	20	0	0	21	20	50	50	50	50	20	0	20	20	0	1	1	0	0	0	0	0	1	1	0	0	0	0	50	0
1275	2	17	1	1	100	100	65	13	97	62	37	29	8	43	50	47	50	50	40	40	83	0	20	29	0	1	0	0	0	0	0	0	0	0	0	1	1	0	100	0
1276	1	18	1	2	0	50	30	10	20	75	50	50	0	10	10	10	60	60	50	50	50	50	50	50	0	1	1	0	1	0	0	0	0	1	0	0	0	0	50	0
