Experiment	Subject	Index	Condition	Coplayer_cost	Efficiency	Pain_Reduction	Second_order_belief	Reciprocity	Whether_reject	Perceived_care	Obligation	Guilt	Gratitude	Indebtedness
1	1101	1	1	5	1	4	3.08	6.58	0	36.7	5.11	18.28	62.45	0
1	1101	2	1	7	1	5.6	10	9.14	0	21.33	50	23.77	60.25	36.82
1	1101	3	1	8	1	6.4	9.51	8.05	0	68.79	41.58	28.89	64.64	17.55
1	1101	4	1	9	1	7.2	12.29	10.43	1	55.61	35.6	38.29	58.54	60.49
1	1101	5	1	10	1	8	11.77	7.86	0	44.27	31.21	32.06	74.4	44.39
1	1101	6	1	11	1	8.8	11.07	11.77	0	66.47	50.49	46.34	71.47	54.88
1	1101	7	1	12	1	9.6	15	15.18	1	67.81	58.91	47.19	100	39.02
1	1101	8	1	14	1	11.2	3.2	11.83	0	72.45	53.17	65.62	79.04	39.75
1	1101	9	1	15	1	12	7.81	16.28	0	78.06	48.29	28.77	77.57	65.62
1	1101	10	1	16	1	12.8	18.05	10.36	0	86.6	59.27	77.21	98.07	80.99
1	1101	11	1	18	1	14.4	21.41	20.43	1	90.14	53.42	73.79	100	100
1	1101	12	1	20	1	16	20.43	10.36	0	86.73	87.21	69.28	100	100
1	1101	13	0	5	1	4	0	0	0	35.24	0	5.11	23.4	41.95
1	1101	14	0	7	1	5.6	4.51	7.86	1	63.18	53.9	51.83	74.65	76.35
1	1101	15	0	8	1	6.4	3.57	8.96	0	60.74	15.73	50.12	59.52	58.54
1	1101	16	0	9	1	7.2	1.37	10.85	0	48.54	11.33	12.8	40.24	29.75
1	1101	17	0	10	1	8	9.82	10.97	0	66.72	52.81	61.22	71.47	60.74
1	1101	18	0	11	1	8.8	3.01	12.62	0	67.2	30.84	43.29	83.43	71.96
1	1101	19	0	12	1	9.6	5.24	10.67	0	66.96	11.94	65.13	77.57	72.45
1	1101	20	0	14	1	11.2	0.57	13.9	0	69.89	50	33.78	83.43	68.06
1	1101	21	0	15	1	12	9.33	16.59	1	76.11	32.92	66.35	98.56	72.45
1	1101	22	0	16	1	12.8	0.45	15	0	80.75	35.85	61.59	82.21	75.13
1	1101	23	0	18	1	14.4	0.3	20.13	0	90.14	53.78	60.98	99.05	87.09
1	1101	24	0	20	1	16	0	15.37	0	100	8.41	70.38	100	31.7
1	1103	1	1	5	1	4	0	0	0	0	0	0	0	0
1	1103	2	1	7	1	5.6	4.48	7.01	0	4	3.15	0	16.08	1.44
1	1103	3	1	8	1	6.4	7.01	8.05	0	11.81	5.47	0.23	4.37	0
