Subject	Kappa
1101	0.173388613
1103	0.289080602
1104	0.314539849
1105	0.260369189
1106	0.436120803
1107	0.107345326
1108	0.350508156
1112	0.101482413
1113	0.11884259
1115	0.126885638
1116	0.330985891
1117	0.016963332
1118	0.027226882
1120	0.149801755
1121	0.010709689
1122	0.034753866
1123	0.127436897
1124	0.119145837
1125	0.015410696
1126	0.023138225
1127	0.292637137
1128	0.784849279
1129	0.110178438
1130	0.013244286
1131	0.149890426
1132	0.137113976
1133	0.248697949
1134	0.414081736
1135	0.035255276
1136	0.129989909
1137	0.036553393
1138	0.042169298
1139	0.960268602
1140	0.134761405
1147	0.204685425
1148	0.178355363
1149	0.228379787
1150	0.114525882
1151	0.048762821
1152	0.246744301
1154	0.309492393
1155	0.120703411
1157	0.745850314
1158	0.187029447
1159	0.970697631
1160	0.01849772
1161	0.052661388
1162	0.238419064
1163	0.222462608
1164	0.175565871
1165	0.222614277
1201	0.231254404
1202	0.359568594
1203	0.492642582
1204	0.535456497
1205	0.92207482
1206	0.738347811
1207	0.406727786
1208	0.13117351
1209	0.015843208
1211	0.202086273
1212	0.042336729
1213	0.599523148
1214	0.128841527
1215	0.204294358
1216	0.880713396
1217	0.153754748
1218	0.138006993
1219	0.91154246
1220	0.194506808
1221	0.493127312
1222	0.927045173
1223	0.38156437
1224	0.409011521
1225	0.297526909
1226	0.320993379
1227	0.324009092
1229	0.892421925
1230	0.217008402
1231	0.063903066
1232	0.299104617
1233	0.64142487
1234	0.208528652
1235	0.255527359
1236	0.02999962
1237	0.260915298
1238	0.980674108
1239	0.920507327
1241	0.610555534
1242	0.238662462
1251	0.459774877
1252	0.742763153
1253	0.074437135
1254	0.559264733
1256	0.173604216
1257	0.134408577
1258	0.420621731
1259	0.17953909
1260	0.720687522
1261	0.854920261
1262	0.945616145
1263	0.114430032
1264	0.122572273
1265	0.443039655
1266	0.29956112
1267	0.57806218
1268	0.232551596
1269	0.113243482
