Subject	Theta	Phi
1101	0.001419058	0.969614728
1102	0.02468147	0.937957507
1103	0.012682301	0.770977053
1104	0.028918093	0.947558765
1105	0.005581122	0.813611594
1106	0.014297331	0.975416292
1107	0.064712108	0.939484896
1108	0.357425088	0.863723532
1109	0.012575447	0.842848923
1110	0.001492878	0.780522158
1111	0.039597371	0.897315054
1112	0.005519781	0.783009574
1114	0.002222137	0.794517849
1116	0.029375951	0.891418777
1117	0.015940779	0.792666909
1118	0.168293188	0.457294537
1119	0.000913861	0.999086111
1120	0.005087908	0.983036668
1122	0.026057399	0.994021318
1123	0.029168785	0.677137116
1124	0.010230017	0.95766014
1125	0.007388191	0.674069138
1126	0.000657385	0.952325734
1127	0.046680669	0.768954341
1128	0.010649847	0.988400234
1129	1.10E-05	0.510357991
1130	0.038090918	0.625205308
1131	0.014991193	0.770638975
1132	0.048692478	0.653092293
1133	0.138624338	0.435584253
1134	0.002595672	0.827993048
1135	0.005868	0.938072966
1136	0.009900656	0.970011774
1137	0.004190632	0.541341559
1138	0.017536639	0.821682113
1139	0.017440458	0.657941402
1140	0.079020341	0.662096308
1141	0.01239324	0.4281872
1142	0.010798535	0.510581008
1143	0.178085623	0.31162625
1144	0.00305057	0.673808475
1145	0.000811577	0.738696265
1146	0.023735794	0.597150341
1147	0.005083118	0.710732089
1148	0.013457453	0.922236489
1149	0.130774807	0.465053699
1150	0.009764997	0.785129753
1151	0.029731777	0.877948756
1152	0.002785351	0.836511318
1153	0.007466442	0.82468376
1154	0.006503254	0.893701399
1156	0.210894559	0.839630182
1157	0.004458668	0.582037103
