Subject,Condition,Guilt,Anger,Allocation,Pain,Attitude,Guilt_group,Anger_group,Prediction_error,abs_PE,PE_group,PE_group2,abs_PE_group,Pain_Attitude,Guilt_resi,Guilt_noAnger,Anger_resi,Anger_noGuilt,Index,Wager2015_expression
101,1,5,4,3.25,2,1,1,1,-1.5,1.5,0,0,0,2,2.44772043,6.322173839,2.375063865,6.040015038,1,3.11E-02
101,2,4,1,4.75,2,3,1,0,5.5,5.5,1,1,1,6,0.265736647,4.140190057,-0.955042572,2.709908602,2,2.13E-02
101,3,4,4,5.333333333,2,2,1,1,2,2,1,1,0,4,1.44772043,5.322173839,2.044957428,5.709908602,3,2.16E-02
101,4,1,4,2,1,1,0,1,-3.5,3.5,0,0,1,1,-1.55227957,2.322173839,1.054638119,4.719589292,4,7.28E-02
101,5,2,2,4.333333333,1,3,0,0,3.5,3.5,1,1,1,3,-1.340268759,2.534184651,-0.615255445,3.049695728,5,2.41E-02
101,6,2,2,4.75,1,2,0,0,0,0,0,0,0,2,-1.340268759,2.534184651,-0.615255445,3.049695728,6,8.63E-03
102,1,2,1,0.666666667,2,1,1,1,-1.5,1.5,0,0,0,2,0.217801516,-0.052857995,-0.676654395,0.109708781,7,5.14E-03
102,2,1,1,4.5,2,3,0,0,5.5,5.5,1,1,1,6,-0.782198484,-1.052857995,-0.756414357,0.029948818,8,-3.29E-02
102,3,1,1,3.5,2,2,0,0,2,2,1,1,1,4,-0.782198484,-1.052857995,-0.756414357,0.029948818,9,1.66E-02
102,4,1,3,2,1,1,0,1,-5.5,5.5,0,0,1,1,-0.235192478,-0.505851988,1.243585643,2.029948818,10,3.74E-02
102,5,1,1,5,1,3,1,0,1.5,1.5,1,1,0,3,-0.782198484,-1.052857995,-0.756414357,0.029948818,11,-1.43E-02
102,6,1,1,5,1,2,1,1,-2,2,0,0,0,2,-0.782198484,-1.052857995,-0.756414357,0.029948818,12,1.84E-02
103,1,5,2,4.75,2,1,1,1,-0.5,0.5,0,0,0,2,1.077243174,6.269950591,0.437769638,3.140348665,13,2.61E-03
103,2,6,1,5,2,3,1,1,6.5,6.5,1,1,1,6,1.644929111,6.837636529,-0.315819986,2.386759042,14,-3.44E-02
103,3,4,1,5,2,2,0,0,3,3,1,1,0,4,-0.355070889,4.837636529,-0.808640739,1.893938289,15,-2.95E-02
